work_order_id,part_number_raw,part_number_clean,customer,quantity_ordered,machine_id,operator_id_raw,operator_id_clean,shift_code,lot_id_raw,lot_id_clean,order_date,scheduled_start,actual_start,complexity,material_type,requires_welding,std_labor_hrs
WO-10000,P-1001,P-1001,Customer A,5,M07,OP007,OP007,,,,2023-01-02,2023-01-02 14:08:00,2023-01-02 14:37:00,Medium,16ga Steel,True,1.02
WO-10001,P-1032,P-1032,Customer F,13,M06,OP019,OP019,Shift A,,,2023-01-02,2023-01-02 07:14:00,2023-01-02 07:14:00,Medium,Aluminum 5052,False,2.02
WO-10002,P-1010,P-1010,Customer A,8,M03,OP010,OP010,Shift B,,,2023-01-02,2023-01-02 14:22:00,2023-01-02 15:06:00,Low,Stainless 304,True,4.08
WO-10003,P1016,P-1016,Customer G,25,M05,OP018,OP018,Shift A,LOT-1003,LOT-1003,2023-01-02,2023-01-02 06:19:00,2023-01-02 07:05:00,Low,14ga Steel,False,4.13
WO-10004,PART-1012,P-1012,Customer D,8,M04,OP002,OP002,Shift A,,,2023-01-02,2023-01-02 06:07:00,2023-01-02 07:05:00,Medium,"3/8"" Plate",False,1.39
WO-10005,P1023,P-1023,Customer F,22,M02,OP015,OP015,Shift A,,,2023-01-02,2023-01-02 06:18:00,2023-01-02 06:38:00,Medium,12ga Steel,True,2.76
WO-10006,p-1029,P-1029,Customer B,6,M04,OP008,OP008,Shift B,LOT-1002,LOT-1002,2023-01-02,2023-01-02 15:49:00,2023-01-02 15:53:00,Low,"1/4"" Plate",True,3.64
WO-10007,P1025,P-1025,Customer C,17,M06,OP003,OP003,Shift B,,,2023-01-03,2023-01-03 13:51:00,2023-01-03 15:13:00,Medium,Stainless 304,False,4.83
WO-10008,P-1029,P-1029,Customer B,9,M06,OP013,OP013,Shift A,LOT-1002,LOT-1002,2023-01-03,2023-01-03 07:12:00,2023-01-03 07:23:00,Low,"1/4"" Plate",True,3.64
WO-10009,P-1003,P-1003,Customer D,17,M04,OP005,OP005,Shift A,LOT-1002,LOT-1002,2023-01-03,2023-01-03 06:39:00,2023-01-03 07:38:00,Medium,"1/4"" Plate",False,4.63
WO-10010,PART-1033,P-1033,Customer F,13,M04,Michele Williams,OP014,Shift B,,,2023-01-03,2023-01-03 14:00:00,2023-01-03 14:43:00,Medium,Stainless 304,True,4.52
WO-10011,p-1007,P-1007,Customer B,21,M02,Monica Herrera,OP011,Shift B,,,2023-01-03,2023-01-03 14:12:00,2023-01-03 15:32:00,Medium,16ga Steel,True,0.78
WO-10012,P-1019,P-1019,Customer E,5,M06,OP005,OP005,Shift A,,,2023-01-03,2023-01-03 05:52:00,2023-01-03 06:38:00,Medium,16ga Steel,True,0.85
WO-10013,P1019,P-1019,Customer E,7,M06,OP002,OP002,Shift A,,,2023-01-03,2023-01-03 04:57:00,2023-01-03 06:05:00,Medium,16ga Steel,True,0.85
WO-10014,P-1008,P-1008,Customer G,24,M05,OP018,OP018,Shift A,,,2023-01-03,2023-01-03 05:49:00,2023-01-03 06:16:00,Low,"3/8"" Plate",False,1.97
WO-10015,PART-1034,P-1034,Customer E,19,M02,OP013,OP013,Shift A,,,2023-01-03,2023-01-03 07:00:00,2023-01-03 07:28:00,Medium,12ga Steel,False,2.39
WO-10016,P-1004,P-1004,Customer D,25,M06,OP001,OP001,,,,2023-01-03,2023-01-03 13:52:00,2023-01-03 14:00:00,Medium,"3/8"" Plate",True,4.61
WO-10017,P-1002,P-1002,Customer E,22,M01,OP003,OP003,Shift B,,,2023-01-03,2023-01-03 14:29:00,2023-01-03 15:42:00,Medium,Aluminum 5052,False,4.78
WO-10018,P-1030,P-1030,Customer G,18,M01,OP018,OP018,Shift A,,,2023-01-04,2023-01-04 06:36:00,2023-01-04 06:42:00,Medium,12ga Steel,True,2.15
WO-10019,P-1006,P-1006,Customer B,22,M02,OP017,OP017,Shift A,LOT-1002,LOT-1002,2023-01-04,2023-01-04 05:21:00,2023-01-04 06:15:00,Medium,"1/4"" Plate",False,2.57
WO-10020,PART-1011,P-1011,Customer B,22,M05,OP012,OP012,,,,2023-01-04,2023-01-04 14:28:00,2023-01-04 15:51:00,High,Aluminum 5052,True,1.39
WO-10021,P-1034,P-1034,Customer E,20,M02,OP004,OP004,Shift A,,,2023-01-04,2023-01-04 05:19:00,2023-01-04 06:10:00,Medium,12ga Steel,False,2.39
WO-10022,P-1003,P-1003,Customer D,22,M04,Holly Wood,OP017,Shift A,LOT-1002,LOT-1002,2023-01-04,2023-01-04 06:16:00,2023-01-04 07:18:00,Medium,"1/4"" Plate",False,4.63
WO-10023,P1009,P-1009,Customer A,6,M05,OP013,OP013,Shift A,,,2023-01-04,2023-01-04 06:30:00,2023-01-04 06:37:00,Medium,12ga Steel,False,4.93
WO-10024,P-1003,P-1003,Customer D,10,M04,OP014,OP014,,LOT-1002,LOT-1002,2023-01-04,2023-01-04 14:24:00,2023-01-04 14:32:00,Medium,"1/4"" Plate",False,4.63
WO-10025,P1015,P-1015,Customer D,24,M07,OP003,OP003,,,,2023-01-04,2023-01-04 13:13:00,2023-01-04 14:37:00,Medium,"3/8"" Plate",False,3.73
WO-10026,P-1033,P-1033,Customer F,25,M04,OP008,OP008,Shift B,,,2023-01-04,2023-01-04 13:36:00,2023-01-04 14:16:00,Medium,Stainless 304,True,4.52
WO-10027,P-1004,P-1004,Customer D,21,M06,OP018,OP018,Shift A,,,2023-01-04,2023-01-04 05:20:00,2023-01-04 06:04:00,Medium,"3/8"" Plate",True,4.61
WO-10028,P 1004,P-1004,Customer D,25,M06,OP015,OP015,Shift A,,,2023-01-04,2023-01-04 06:14:00,2023-01-04 07:39:00,Medium,"3/8"" Plate",True,4.61
WO-10029,P-1019,P-1019,Customer E,11,M06,OP005,OP005,Shift A,,,2023-01-04,2023-01-04 05:51:00,2023-01-04 06:17:00,Medium,16ga Steel,True,0.85
WO-10030,P-1016,P-1016,Customer G,13,M05,OP008,OP008,,LOT-1003,LOT-1003,2023-01-04,2023-01-04 13:58:00,2023-01-04 14:40:00,Low,14ga Steel,False,4.13
WO-10031,P-1008,P-1008,Customer G,7,M05,OP006,OP006,Shift B,,,2023-01-04,2023-01-04 14:07:00,2023-01-04 15:35:00,Low,"3/8"" Plate",False,1.97
WO-10032,P-1009,P-1009,Customer A,14,M05,OP015,OP015,Shift A,,,2023-01-04,2023-01-04 06:22:00,2023-01-04 06:27:00,Medium,12ga Steel,False,4.93
WO-10033,P1013,P-1013,Customer D,12,M02,OP004,OP004,Shift A,,,2023-01-05,2023-01-05 07:17:00,2023-01-05 07:39:00,Low,Stainless 304,True,2.94
WO-10034,P1026,P-1026,Customer D,12,M06,OP005,OP005,Shift A,LOT-1003,LOT-1003,2023-01-05,2023-01-05 06:22:00,2023-01-05 07:51:00,High,14ga Steel,False,4.66
WO-10035,P-1006,P-1006,Customer B,12,M02,OP001,OP001,Shift B,LOT-1002,LOT-1002,2023-01-05,2023-01-05 13:58:00,2023-01-05 15:22:00,Medium,"1/4"" Plate",False,2.57
WO-10036,P-1012,P-1012,Customer D,25,M04,OP010,OP010,Shift B,,,2023-01-05,2023-01-05 13:23:00,2023-01-05 14:49:00,Medium,"3/8"" Plate",False,1.39
WO-10037,P1034,P-1034,Customer E,13,M02,OP001,OP001,,,,2023-01-05,2023-01-05 13:55:00,2023-01-05 15:11:00,Medium,12ga Steel,False,2.39
WO-10038,PART-1027,P-1027,Customer F,11,M07,OP010,OP010,Shift B,,,2023-01-05,2023-01-05 12:54:00,2023-01-05 14:24:00,Medium,Stainless 304,False,3.84
WO-10039,P-1027,P-1027,Customer F,15,M07,OP019,OP019,Shift A,,,2023-01-05,2023-01-05 04:59:00,2023-01-05 06:23:00,Medium,Stainless 304,False,3.84
WO-10040,P-1007,P-1007,Customer B,9,M02,OP014,OP014,Shift B,,,2023-01-05,2023-01-05 14:19:00,2023-01-05 15:44:00,Medium,16ga Steel,True,0.78
WO-10041,p-1024,P-1024,Customer E,14,M01,OP020,OP020,Shift A,,,2023-01-05,2023-01-05 06:40:00,2023-01-05 07:35:00,Low,16ga Steel,False,3.13
WO-10042,P-1020,P-1020,Customer A,10,M06,OP012,OP012,Shift B,,,2023-01-05,2023-01-05 13:56:00,2023-01-05 14:32:00,Low,Aluminum 5052,False,3.38
WO-10043,P-1032,P-1032,Customer F,11,M06,OP003,OP003,Shift B,,,2023-01-05,2023-01-05 14:38:00,2023-01-05 14:43:00,Medium,Aluminum 5052,False,2.02
WO-10044,P1030,P-1030,Customer G,20,M01,OP018,OP018,Shift A,,,2023-01-06,2023-01-06 06:27:00,2023-01-06 06:45:00,Medium,12ga Steel,True,2.15
WO-10045,P1000,P-1000,Customer B,8,M03,OP017,OP017,Shift A,,,2023-01-06,2023-01-06 06:04:00,2023-01-06 07:03:00,Low,Stainless 304,True,2.03
WO-10046,PART-1033,P-1033,Customer F,19,M04,OP012,OP012,Shift B,,,2023-01-06,2023-01-06 14:53:00,2023-01-06 15:53:00,Medium,Stainless 304,True,4.52
WO-10047,P-1028,P-1028,Customer B,19,M06,OP007,OP007,,LOT1001,LOT-1001,2023-01-06,2023-01-06 15:04:00,2023-01-06 15:40:00,Low,16ga Steel,False,3.53
WO-10048,P-1015,P-1015,Customer D,17,M07,OP010,OP010,Shift B,,,2023-01-06,2023-01-06 12:38:00,2023-01-06 14:08:00,Medium,"3/8"" Plate",False,3.73
WO-10049,P-1013,P-1013,Customer D,18,M02,OP017,OP017,Shift A,,,2023-01-06,2023-01-06 05:49:00,2023-01-06 07:03:00,Low,Stainless 304,True,2.94
WO-10050,P1001,P-1001,Customer A,22,M06,OP007,OP007,Shift B,LOT1001,LOT-1001,2023-01-06,2023-01-06 15:06:00,2023-01-06 15:34:00,Medium,16ga Steel,True,1.02
WO-10051,P-1031,P-1031,Customer B,19,M05,Lisa Hensley,OP013,Shift A,LOT-1002,LOT-1002,2023-01-06,2023-01-06 06:27:00,2023-01-06 07:46:00,Medium,"1/4"" Plate",True,3.44
WO-10052,P1034,P-1034,Customer E,9,M02,OP017,OP017,Shift A,,,2023-01-06,2023-01-06 05:42:00,2023-01-06 06:05:00,Medium,12ga Steel,False,2.39
WO-10053,p-1020,P-1020,Customer A,18,M06,OP018,OP018,Shift A,,,2023-01-07,2023-01-07 07:07:00,2023-01-07 07:17:00,Low,Aluminum 5052,False,3.38
WO-10054,P-1030,P-1030,Customer G,12,M06,OP019,OP019,Shift A,,LOT-1000,2023-01-07,2023-01-07 06:46:00,2023-01-07 06:48:00,Medium,12ga Steel,True,2.15
WO-10055,P1009,P-1009,Customer A,16,M05,OP005,OP005,Shift A,,LOT-1000,2023-01-07,2023-01-07 05:12:00,2023-01-07 06:29:00,Medium,12ga Steel,False,4.93
WO-10056,PART-1007,P-1007,Customer B,11,M05,OP013,OP013,,LOT1001,LOT-1001,2023-01-07,2023-01-07 05:57:00,2023-01-07 07:25:00,Medium,16ga Steel,True,0.78
WO-10057,P 1015,P-1015,Customer D,6,M07,OP013,OP013,Shift A,,,2023-01-07,2023-01-07 05:56:00,2023-01-07 06:50:00,Medium,"3/8"" Plate",False,3.73
WO-10058,P-1023,P-1023,Customer F,16,M02,Lisa Jackson,OP019,Shift A,LOT-1000,LOT-1000,2023-01-07,2023-01-07 06:08:00,2023-01-07 07:06:00,Medium,12ga Steel,True,2.76
WO-10059,p-1009,P-1009,Customer A,22,M05,OP006,OP006,Shift B,LOT-1000,LOT-1000,2023-01-07,2023-01-07 14:40:00,2023-01-07 15:39:00,Medium,12ga Steel,False,4.93
WO-10060,PART-1027,P-1027,Customer F,12,M07,OP010,OP010,Shift B,,,2023-01-07,2023-01-07 13:05:00,2023-01-07 14:17:00,Medium,Stainless 304,False,3.84
WO-10061,P-1024,P-1024,Customer E,13,M01,OP001,OP001,Shift B,LOT1001,LOT-1001,2023-01-07,2023-01-07 13:57:00,2023-01-07 15:13:00,Low,16ga Steel,False,3.13
WO-10062,P1017,P-1017,Customer D,20,M01,OP019,OP019,Shift A,,,2023-01-07,2023-01-07 05:45:00,2023-01-07 06:15:00,High,Aluminum 5052,False,4.9
WO-10063,P1030,P-1030,Customer G,16,M01,OP012,OP012,Shift B,LOT-1000,LOT-1000,2023-01-07,2023-01-07 13:12:00,2023-01-07 14:19:00,Medium,12ga Steel,True,2.15
WO-10064,P-1022,P-1022,Customer G,12,M03,OP014,OP014,Shift B,,,2023-01-07,2023-01-07 14:53:00,2023-01-07 15:17:00,Medium,Stainless 304,False,1.03
WO-10065,p-1007,P-1007,Customer B,14,M02,OP009,OP009,Shift A,LOT1001,LOT-1001,2023-01-09,2023-01-09 06:44:00,2023-01-09 07:06:00,Medium,16ga Steel,True,0.78
WO-10066,PART-1019,P-1019,Customer E,20,M05,OP019,OP019,Shift A,LOT1001,LOT-1001,2023-01-09,2023-01-09 06:39:00,2023-01-09 06:40:00,Medium,16ga Steel,True,0.85
WO-10067,p-1018,P-1018,Customer H,17,M07,OP012,OP012,Shift B,,LOT-1001,2023-01-09,2023-01-09 13:54:00,2023-01-09 15:07:00,High,16ga Steel,True,2.78
WO-10068,P-1003,P-1003,Customer D,18,M04,OP005,OP005,Shift A,LOT-1002,LOT-1002,2023-01-09,2023-01-09 04:56:00,2023-01-09 06:15:00,Medium,"1/4"" Plate",False,4.63
WO-10069,P1014,P-1014,Customer A,6,M04,OP012,OP012,Shift B,LOT-1000,LOT-1000,2023-01-09,2023-01-09 15:07:00,2023-01-09 15:19:00,Low,12ga Steel,False,0.62
WO-10070,P-1013,P-1013,Customer D,5,M02,OP013,OP013,Shift A,,,2023-01-09,2023-01-09 05:07:00,2023-01-09 06:35:00,Low,Stainless 304,True,2.94
WO-10071,P1030,P-1030,Customer G,13,M01,OP001,OP001,Shift B,LOT-1000,LOT-1000,2023-01-09,2023-01-09 13:44:00,2023-01-09 15:04:00,Medium,12ga Steel,True,2.15
WO-10072,P-1012,P-1012,Customer D,6,M04,OP003,OP003,Shift B,LOT-1004,LOT-1004,2023-01-09,2023-01-09 15:13:00,2023-01-09 15:52:00,Medium,"3/8"" Plate",False,1.39
WO-10073,P-1018,P-1018,Customer H,19,M07,OP003,OP003,,LOT1001,LOT-1001,2023-01-09,2023-01-09 15:27:00,2023-01-09 15:32:00,High,16ga Steel,True,2.78
WO-10074,P 1027,P-1027,Customer F,23,M07,OP016,OP016,Shift B,,,2023-01-09,2023-01-09 14:12:00,2023-01-09 14:14:00,Medium,Stainless 304,False,3.84
WO-10075,P-1017,P-1017,Customer D,23,M01,OP005,OP005,Shift A,,,2023-01-09,2023-01-09 06:56:00,2023-01-09 07:58:00,High,Aluminum 5052,False,4.9
WO-10076,P1030,P-1030,Customer G,14,M01,OP011,OP011,Shift B,LOT-1000,LOT-1000,2023-01-10,2023-01-10 14:35:00,2023-01-10 15:26:00,Medium,12ga Steel,True,2.15
WO-10077,P 1002,P-1002,Customer E,17,M01,OP003,OP003,Shift B,,,2023-01-10,2023-01-10 15:07:00,2023-01-10 15:07:00,Medium,Aluminum 5052,False,4.78
WO-10078,P-1034,P-1034,Customer E,6,M02,OP011,OP011,Shift B,LOT-1000,LOT-1000,2023-01-10,2023-01-10 14:30:00,2023-01-10 15:40:00,Medium,12ga Steel,False,2.39
WO-10079,P1008,P-1008,Customer G,12,M05,OP012,OP012,Shift B,LOT-1004,LOT-1004,2023-01-10,2023-01-10 14:01:00,2023-01-10 14:40:00,Low,"3/8"" Plate",False,1.97
WO-10080,PART-1000,P-1000,Customer B,25,M03,OP003,OP003,Shift B,,,2023-01-10,2023-01-10 13:26:00,2023-01-10 14:29:00,Low,Stainless 304,True,2.03
WO-10081,P-1018,P-1018,Customer H,24,M07,OP011,OP011,Shift B,LOT1001,LOT-1001,2023-01-10,2023-01-10 14:07:00,2023-01-10 14:24:00,High,16ga Steel,True,2.78
WO-10082,P1004,P-1004,Customer D,23,M06,OP011,OP011,Shift B,LOT-1004,LOT-1004,2023-01-10,2023-01-10 12:54:00,2023-01-10 14:18:00,Medium,"3/8"" Plate",True,4.61
WO-10083,PART-1009,P-1009,Customer A,11,M05,OP014,OP014,Shift B,LOT-1000,LOT-1000,2023-01-11,2023-01-11 14:59:00,2023-01-11 15:29:00,Medium,12ga Steel,False,4.93
WO-10084,P 1024,P-1024,Customer E,25,M01,Holly Wood,OP017,Shift A,LOT1001,LOT-1001,2023-01-11,2023-01-11 06:21:00,2023-01-11 07:24:00,Low,16ga Steel,False,3.13
WO-10085,P-1002,P-1002,Customer E,19,M01,OP019,OP019,,,,2023-01-11,2023-01-11 06:57:00,2023-01-11 07:55:00,Medium,Aluminum 5052,False,4.78
WO-10086,P1000,P-1000,Customer B,17,M03,OP017,OP017,Shift A,,LOT-1009,2023-01-11,2023-01-11 06:39:00,2023-01-11 07:21:00,Low,Stainless 304,True,2.03
WO-10087,P-1034,P-1034,Customer E,24,M02,OP010,OP010,,LOT-1000,LOT-1000,2023-01-11,2023-01-11 14:35:00,2023-01-11 15:55:00,Medium,12ga Steel,False,2.39
WO-10088,P-1018,P-1018,Customer H,14,M07,OP004,OP004,Shift A,LOT1001,LOT-1001,2023-01-11,2023-01-11 06:23:00,2023-01-11 06:28:00,High,16ga Steel,True,2.78
WO-10089,P-1020,P-1020,Customer A,18,M06,OP013,OP013,Shift A,,,2023-01-11,2023-01-11 06:46:00,2023-01-11 07:09:00,Low,Aluminum 5052,False,3.38
WO-10090,P1010,P-1010,Customer A,12,M03,OP004,OP004,Shift A,LOT-1007,LOT-1007,2023-01-11,2023-01-11 07:26:00,2023-01-11 07:58:00,Low,Stainless 304,True,4.08
WO-10091,P-1029,P-1029,Customer B,16,M04,OP001,OP001,Shift B,LOT-1002,LOT-1002,2023-01-11,2023-01-11 13:26:00,2023-01-11 14:04:00,Low,"1/4"" Plate",True,3.64
WO-10092,P-1027,P-1027,Customer F,12,M07,OP012,OP012,Shift B,LOT-1009,LOT-1009,2023-01-11,2023-01-11 15:09:00,2023-01-11 15:54:00,Medium,Stainless 304,False,3.84
WO-10093,P1018,P-1018,Customer H,20,M07,OP001,OP001,Shift B,LOT1001,LOT-1001,2023-01-11,2023-01-11 14:22:00,2023-01-11 14:58:00,High,16ga Steel,True,2.78
WO-10094,P-1014,P-1014,Customer A,25,M04,OP007,OP007,Shift B,LOT-1000,LOT-1000,2023-01-11,2023-01-11 14:01:00,2023-01-11 14:40:00,Low,12ga Steel,False,0.62
WO-10095,P1028,P-1028,Customer B,10,M06,OP020,OP020,Shift A,,LOT-1001,2023-01-11,2023-01-11 06:11:00,2023-01-11 07:20:00,Low,16ga Steel,False,3.53
WO-10096,PART-1033,P-1033,Customer F,8,M04,OP006,OP006,Shift B,LOT-1009,LOT-1009,2023-01-12,2023-01-12 15:38:00,2023-01-12 15:47:00,Medium,Stainless 304,True,4.52
WO-10097,p-1009,P-1009,Customer A,5,M05,OP017,OP017,Shift A,LOT-1000,LOT-1000,2023-01-12,2023-01-12 06:50:00,2023-01-12 07:05:00,Medium,12ga Steel,False,4.93
WO-10098,P-1029,P-1029,Customer B,5,M04,OP008,OP008,Shift B,LOT-1002,LOT-1002,2023-01-12,2023-01-12 13:32:00,2023-01-12 14:43:00,Low,"1/4"" Plate",True,3.64
WO-10099,P1020,P-1020,Customer A,25,M06,OP004,OP004,Shift A,,,2023-01-12,2023-01-12 07:41:00,2023-01-12 07:58:00,Low,Aluminum 5052,False,3.38
WO-10100,P-1002,P-1002,Customer E,22,M01,OP013,OP013,Shift A,,,2023-01-12,2023-01-12 05:08:00,2023-01-12 06:06:00,Medium,Aluminum 5052,False,4.78
